"id_story"	"titre"	"id_img"	"id_doc"	"id_son"	"url_sharedoc_data"	"url _Nakala_data"	"url_image"	"source_auteur"	"url_source"	"date_production"	"date_info"	"lieu"	"texte"	"corpus"	"id_corpus"	"niveau"	"periode"
40	"Archives citoyennes"												"<p>Les archives que nous qualifions ici de « citoyennes » sont rares, et aucun inventaire exhaustif n’est disponible à ce jour. Les informations concernant la date et le lieu sont souvent lacunaires, ce qui rend difficile leur utilisation dans une perspective d’histoire du phénomène. Régulièrement, de nouvelles archives de ce type sont découvertes : avec le temps, les regards sur ces documents évoluent, la valeur patrimoniale et l’attention qui leur sont accordées se renforce, et les algues vertes suscitent davantage d’attention.  La présence ou la mention des algues vertes peuvent être fortuites : une photographie de famille prise sur une plage, un récit qui les évoque… Mais la plupart de ces archives ont en commun d’être constituées par des personnes qui, à un titre ou à un autre, ont cherché à documenter le phénomène des marées vertes, généralement dans la perspective d’alerter et de mobiliser l’opinion ou les pouvoirs publique sur leur ampleur et leurs effets, de « faire preuve ». Il peut s’agir d’un·e élu·e d’une commune particulièrement touchée, comme Yvette Doré, maire d’Hillion entre 2008 et 2015. Il peut aussi s’agir de riverain·es.</p>"	"Archives citoyennes"	"c_03"	2	"1970 à aujourd'hui"
41	"Le dossier « algues vertes » d’une maire inquiète : les archives d’Yvette Doré à Hillion"		"id_41.pdf"	"id_41.mp3"				"Mairie d'Hillion/Y.Doré"		"02/07/22"	"02/07/22"	"Baie de Saint Brieuc"	"<p>Maire d’Hillion (Côtes d’Armor) de 2008 à 2015, Yvette Doré a été confrontée très rapidement à la difficile gestion d’échouages massifs d’algues vertes sur le littoral de sa commune, en l’absence de solutions de ramassage et de traitement permettant de limiter les dommages pour la commune et ses habitant·es. S’attachant à alerter et mobiliser les services de l’État, elle a récupéré, enrichi et classé le fonds de dossier constitué par la commune, permettant notamment de documenter le danger sanitaire associé à la décomposition des ulves, et le préjudice qui en découle. Ce dossier comporte des pièces datant du début des années 1970 (archives de presse, courriers d’habitant·es, compte-rendus de réunion…), qui renseignent sur les dates et conditions d’émergence des marées vertes en baie de Saint-Brieuc.</p>"	"Archives citoyennes"	"c_03"	3	
42	"Document 2"													"Archives citoyennes"	"c_03"	3	"2010 à aujourd'hui
"
50	"Entretiens, témoignages"												"<p>A ce jour, les campagnes de recueil de témoignages oraux sur les périodes d’apparition des marées vertes ont été peu nombreuses et se sont principalement déroulées dans les communes riveraines des baies sableuses les plus anciennement touchées : les baies de Saint-Brieuc et de Lannion (Côtes d’Armor), les baies de Douarnenez et de la Forêt (Finistère). Outre les témoignages recueillis et rendus publics dans le cadre de travaux scientifiques publiés, certains ont été recueillis par les équipes du CEVA, les services de l’État, ou des associations locales, mais n’ont pas encore donné lieu à publication. La plupart d’entre eux ont été collectés depuis 2010. Le partage et l’utilisation des témoignages recueillis s’avèrent dans la pratique complexes. En premier lieu, le consentement des témoins permettant de rendre leur parole publique n’a pas toujours été recueilli, et ils sont parfois depuis décédés. De surcroît, il s’agit bien sûr d’un sujet sensible, la plupart des témoins adoptant une attitude prudente, voire réservée à l’idée de s’exprimer publiquement. En second lieu, si les souvenirs remobilisés par les témoins sont en général très directement associés à des lieux bien identifiables, en revanche les repères temporels (année, saison, mois) deviennent plus flous avec le temps – à l’exception des cas où les témoins peuvent y associer un événement familial ou historique rendant la datation plus robuste. Les riverain·es, professionnel·les du littoral, élu·es des communes les plus touchées sont souvent celles et ceux dont les témoignages sont les plus précis. </p>"	"Entretiens, témoignages"	"c_04"	2	
51	"Transcription d’un témoignage recueilli auprès d’un responsable de centre nautique en février 2012 en baie de la Forêt (Finistère) par A. Levain"							"Muséum national d'histoire naturelle"		"01/02/12"	"01/02/12"	"Baie de la Forêt"	"<p>« Je venais d'acheter des [...] catamarans tout neufs. [...] Et...il y a un salopard qui a dégazé, et mes bateaux sont devenus tout noirs, tout de suite. Donc, qu'est-ce que j'ai fait ? J'ai pris le taureau par les cornes, j'ai appelé RBO tout de suite et puis je leur ai balancé l'info en leur disant que j'étais fou furieux, quoi. Et vlan, là je me suis fait alpaguer par le Maire. En me disant : « [Patrick], il ne faut pas faire ça, on n'aura jamais plus de touristes ». Bon, déjà ça a commencé à me chauffer les oreilles. Bon. Je n’ai rien dit, j'ai nettoyé mes bateaux et puis...et l'année d'après, c'est les algues vertes. Donc je n’ai rien dit, l'année d'après, 85 j'ai rien dit, on a nettoyé, on ramassait les bateaux avec difficultés, on tirait à hue et à dia, on n'avait pas de moyens pour gérer nos bateaux, […] il y avait 1m50 d'algues vertes sur la plage, qui s'accumulaient. […] Et puis en 86 rebelote quoi [grand soupir]. […] Je me suis fait prendre en kayak dans les algues vertes jusque là [Patrick montre son torse], par un mec de l'AFP qui a balancé ça sur le plan national (rires). Je ne te raconte pas le Maire...avec le fusil, je devais courir en zig-zag, pour éviter les balles. Et les paysans, et tout ça, et tout le bazar ! Oh la la ! Et quand je suis parti du Cap Coz [un élu m’a] dit « tu es le plus grand déboucheur de chiottes de tout l'ouest armoricain » [grand rire]. […] Ca voulait bien dire ce que ça voulait dire. Dire que j'ai un peu remué la merde. Le Maire, il a été fou furieux sur cette affaire-là. En disant pareil : « il y aura plus de touristes ». »</p>"	"Entretiens, témoignages"	"c_04"	3	
52	"Document 2"													"Entretiens, témoignages"	"c_04"	3	
60	"Études et expertises scientifiques"												"<p>Comme l’énonce Jean Yves Pirou dans son rapport intitulé Les marées vertes sur le littoral Breton - Bilan 1985 : « Les marées vertes n’ont vraiment été révélées par les médias qu’à partir de 1968 en baie de Lannion, en 1972 en baie de Saint-Brieuc, en 1976 en baie de Douarnenez, en 1980 en baie de Concarneau. Ces années correspondent, dans la courbe de progression du phénomène, à un premier niveau critique : celui où les marées vertes deviennent une gêne préoccupante pour les riverains. ».</p> <p>L’enjeu scientifique concernant la compréhension et la gestion des échouages d’algues vertes sur l’ensemble du littoral Breton va s’accélérer via la création du CEVA en 1982 (anciennement CERAA) et permettre d’alimenter activement le corpus « Etudes et Expertises Scientifique » sur le phénomène de marée verte. En 1986 naît des programmes de recherches collaboratifs entre Ifremer et le CEVA à l’initiative du Conseil Général des Côtes du Nord. A cette période, nombreuses sont les interrogations concernant les caractéristiques taxonomiques et écophysiologiques des algues vertes responsables du phénomène de marée vertes, et les liens de causalités avec les teneurs nutritives du milieu (page de couverture du <a href=""stories/greenseas/corpus_doc/id_10_A.JPG"" target=""_blank"">rapport «Etude de certains aspects écopysiologiques des marées vertes »</a> ). De nombreux rapports établis au cours des années 1990 par le CEVA ont fait l’objet d’un suivi des proliférations d’algues vertes spécifiquement au niveau des baies de Lannion et Saint Brieuc, financé par le Conseil Général des Côtes d’Armor (page de couverture du <a href=""stories/greenseas/corpus_doc/id_10_C.JPG"" target=""_blank"">rapport « Lutte préventive et curative contre les proliférations des marées vertes en Baies de Lannion et de Saint Brieuc - Suivi des proliférations algales en Côtes d'Armor et estimation des biomasses en baies de Saint Brieuc et de Lannion en 1996 »</a> ). Un tournant a lieu dans les années 2000 avec les programmes Prolittoral en 2002 et CIMAV en 2008 conduits par le CEVA, à travers le déploiement d’un outil de modélisation, connu actuellement sous le nom de « ECO-MARS-3D-Ulves » et élaboré initialement par Ifremer (référence : Alain Menesguen, 1992. Modelling coastal eutrophication: the case of French Ulva mass blooms. Marine Coastal Eutrophication). Plusieurs rapports illustrent l’emploi en plein essor de ce nouvel outil, orienté à la détermination des objectifs de qualité « nitrates » au niveau des exutoires (page de couverture du <a href=""stories/greenseas/corpus_doc/id_10_B.JPG"" target=""_blank"">rapport « Application du modèle écologique mars-ulves à la détermination des objectifs de qualité nitrates/ulves aux exutoires du frémur et du quillimadec »</a> ).</p>"	"Études et expertises scientifiques"	"c_05"	2	"1977 à aujourd'hui"
61	"Intervention manuscrite de D.Briault ""Les marées Vertes"" dans le cadre du colloque Eutrophisation du 25-26 novembre 1987"	"id_61.JPG"	"id_61.pdf"		"https://sharedocs.huma-num.fr/wl/?id=0SZCmajGIJs1AtFIIGRmyPdGDSgJKyLy"		"https://sharedocs.huma-num.fr/wl/?id=LSwcqGxPJUF3Y4o3mFMZu4wUd8rBlyqQ"	" CEVA"		"01/11/87"	1967	"Baie de Lannion "	"<p>Dans le cadre du colloque « Eutrophisation » organisé conjointement par l’Agence de Bassin Loire-Bretagne et par l’Association Française pour la Protection des Eaux, et qui a lieu le 25 et 26 novembre 1987, Monsieur Dominique Brault, anciennement directeur du CEVA, est intervenu sur les sujets suivants : </p> <ul> <li>Les marées vertes : caractérisations biologiques et écophysiologiques</li> <li>Les marées vertes : une alternative au simple transfert de pollution</li> <li>Les marées vertes : un exemple de réponse biologique à des perturbations en milieu littoral</li> </ul> <p>Le document présente le manuscrit de ses trois interventions, adressé le 03 novembre 1987 à Monsieur Receveur, chargé de mission à l’Agence de Bassin Loire-Bretagne. A travers la description du phénomène de marée verte, D. Brault fait l’état de son émergence en Bretagne en baie de Lannion en 1967, suivie d’une extension à l’ensemble du littoral jusqu’à une stabilisation du phénomène début des années 1980.</p> <p>Les autres conférenciers présents à ce colloque étaient affiliés à la Fondation de l’Eau, l’Agence de bassin Rhône-Méd.-Corse, le Centre d’Études et de Recherches en Biologie et Océanographie Médicale (CERBOM), Ifremer, la Société Lyonnaise des Eaux, SRAE Basse Normandie, l’Institut de Limnologie, Electricité de France, et BETURE-SETAME. </p>"	"Études et expertises scientifiques"	"c_05"	3	
62	"Étude du phénomène de ""Marée Verte"" affectant les baies de Lannion et de Saint-Brieuc par Joël Kopp en 1977"	"id_62.JPG"	"id_62.pdf"		"https://sharedocs.huma-num.fr/wl/?id=xfKBZbYpll1o0kSeqZyuJE1KFVkCgPwi"		"https://sharedocs.huma-num.fr/wl/?id=GwNQ0DBvU2ZlEyxSY3crw0HKCY4exDmu"	"ISTPM-bibliothèque de Nantes"		"01/06/77"	1968	"Baies de Saint Brieuc et de Lannion"	"<p>En introduction, Joël Kopp décline son exposé de la manière suivante :</p> <ul> <li>Historique du phénomène et des différentes études s’y rapportant</li> <li>Banalité du phénomène</li> <li>Caractéristiques des espèces Ulva lactuca et Ulva rigida</li> <li>Diversité des travaux réalisés</li> </ul> <p>Dès le début du manuscrit, il mentionne : « Depuis 1968 les plages des baies de Saint Brieuc et de Lannion sont envahies chaque été par d’innombrables épaves d’algues vertes appartenant aux espèces Ulva lactuca et Ulva rigida. Ce phénomène est connu sous le nom de marée verte ».</p> <p>Ce rapport a pour finalité de présenter les résultats obtenus au cours de différentes missions (entre 1973 et 1976) sur les baies de Saint Brieuc et de Lannion. Il s’agissait de cartographier les échouages d’ulves sur l’estran, d’identifier et caractériser les champs d’algues par plongée sous-marine, et enfin d’évaluer le déplacement pélagique des ulves et la courantologie spécifique des deux baies. Des échantillonnages d’eau de mer avaient également été réalisés pour mesurer des teneurs en nitrate et phosphate. A ces missions s’ajoutaient des travaux réalisés en laboratoire sur des ulves prélevées à Locquirec, Noirmoutier et Saint Quay Portrieux afin d’évaluer leur croissance selon différents ajouts nutritifs, et leur taux de fertilité.</p> <p>En conclusion, Joël Kopp soumet des causes potentielles du « développement anarchique » des ulves, à savoir :</p> <ul> <li>Des facteurs d’origine physique : modification de la bathymétrie des baies de Saint Brieuc et de Lannion à travers un phénomène d’ensablement qui favoriserait la disparation d’herbiers et des champs de laminaire au profit du développement des ulves</li> <li>Des facteurs d’origine chimique : des teneurs nutritives particulièrement importantes qui accélèrent la croissance des ulves</li> <li>Des facteurs d’origine biologique : la disparition progressive des bigorneaux Littorine par une suractivité de la pêche à pied, considérés comme un prédateur des ulves.</li> </ul> <p>En terme de moyens de lutte préconisés, Joël Kopp met en avant la nécessité d’agir sur les facteurs influençant « la qualité des rejets terrigènes » et « la protection de l’écologie benthique de l’estran » à travers le développement de station d’épuration permettant de « neutraliser les nitrates et les phosphates » dans les eaux usées d’origine urbaine, ainsi que dans les fleuves et ruisseaux côtiers impactés par le lessivage des sols agricoles. Il rappelle néanmoins que « la lutte contre les causes primaires du phénomène de marée verte suppose des crédits très importants sans qu’il soit possible de garantir totalement l’efficacité des réalisations projetées qui ne pourront de toute façon réduire l’importance du phénomène que très partiellement ». Comme moyen de lutte plus efficace, il soutient une destruction des algues sur les champs à travers l’action de broutage des bigorneaux Littorines qui seraient « déversés sur les champs ».</p> <p> </p>"	"Études et expertises scientifiques"	"c_05"	3	
63	"Les marées vertes sur le littoral breton - Bilan 1985 par Jean Yves Piriou"	"id_63.JPG"	"id_63.pdf"		"https://sharedocs.huma-num.fr/wl/?id=f3i70ZlzSGKKx9w6gOq4iVAT05dTBB2g"		"https://sharedocs.huma-num.fr/wl/?id=22wQ0qhEtooi5CdDWIMgzWRX5S3uTmDx"	"Ifremer"		1985	"1924 à 1966"	"Baie de Saint Brieuc"	"<p>Ce manuscrit rédigé par Jean Yves Piriou, ancien Chercheur à l’Ifremer, fait l’état des lieux d’une première année de prospection de la Baie de Saint Brieuc qui avait pour but de cartographier les zones de prolifération, d’étudier les facteurs morphologiques et physiques pouvant favoriser les proliférations et les échouages, et enfin d’évaluer les apports nutritifs d’origine terrigène.</p> <p>Dans son préambule, il mentionne que vraisemblablement « les proliférations d’ulves ont existé depuis très longtemps sur les côtes bretonnes et déjà en assez grande importance dans les secteurs les plus touchés aujourd’hui. Les marées noires de ces 20 dernières années et la diminution qui s’en suivit des animaux brouteurs (bigorneaux, oursins …) ne font donc pas partie des causes majeures du phénomène. » Comme référentiel, il mentionne un signalement daté de 1924 par le directeur de la station agronomique INRA de Quimper indiquant, en parlant d’ulves, que « l’été, sur les côtes de la Manche, le flot en apporte journellement qui, avec les autres algues, forment une sorte de bourrelet dessinant le niveau de la mer ». Jean Yves Piriou s’appuie également sur des photographies aériennes de l’IGN de 1952 et 1966 de la baie de Saint Michel en Grève (<a href=""https://sharedocs.huma-num.fr/wl/?id=nLwEiw9iAaF9XZwndu64NmgeHrZF1z5O"">Icone vers une photographie de 1952</a> ; <a href=""https://sharedocs.huma-num.fr/wl/?id=UCLmzAZ7mtHHGSYXxMBsfdqpQaVCrVak"">Icone vers une photographie de 1966</a> ) et de la Baie de Saint Brieuc (<a href=""https://sharedocs.huma-num.fr/wl/?id=AMNSK0JcsXqkOZTb4S1vVZsj9UjLsOfE"">Icone vers une photographie de 1966</a> ). Il émet l’hypothèse que les proliférations algales observées dans le rideau sur ces photographies de l’IGN sont comparables à celles observées en 1985 en baie de Saint Brieuc définies comme une « masse compacte de thalles d’ulves, flottant dans l’eau peu profonde, va et vient au gré des marées à la limite des eaux ».</p> <p>En conclusion de ce rapport, Jean Yves Piriou définit « les secteurs potentiels de proliférations d’ulves flottantes au bas de l’eau » comme suit : «</p> <ul> <li>Baie ou anse peu profonde et semi-fermée,</li> <li>Résultante courantologique portant plutôt vers la côte,</li> <li>Absence de courants de vidange,</li> <li>Débouché au fond de l’anse d’un ou plusieurs cours d’eau. »</li> </ul>"	"Études et expertises scientifiques"	"c_05"	3	
